date,district,disease,cases,hospitalizations,tests_conducted,positive_rate,temperature,humidity,rainfall_mm,population,population_density
2025-12-15,Amritsar,Chikungunya,18,1,89,20.22,31.3,56.0,0.0,2490000,1106.9
2025-12-16,Amritsar,Chikungunya,15,2,69,21.74,30.1,51.7,0.0,2490000,2066.2
2025-12-17,Amritsar,Chikungunya,17,3,78,21.79,29.6,62.7,0.0,2490000,975.2
2025-12-18,Amritsar,Chikungunya,15,1,72,20.83,33.7,60.1,0.0,2490000,1728.9
2025-12-19,Amritsar,Chikungunya,19,4,86,22.09,26.7,66.1,0.0,2490000,1416.1
2025-12-20,Amritsar,Chikungunya,20,2,93,21.51,34.4,60.7,0.0,2490000,1506.6
2025-12-21,Amritsar,Chikungunya,17,3,79,21.52,34.2,65.8,0.2,2490000,2113.2
2025-12-22,Amritsar,Chikungunya,17,3,63,26.98,34.3,63.3,2.5,2490000,1266.7
2025-12-23,Amritsar,Chikungunya,18,3,49,36.73,31.1,68.1,0.0,2490000,1622.7
2025-12-24,Amritsar,Chikungunya,17,2,78,21.79,31.2,65.3,0.0,2490000,1069.5
2025-12-25,Amritsar,Chikungunya,20,4,54,37.04,32.5,64.9,0.0,2490000,1412.6
2025-12-26,Amritsar,Chikungunya,14,2,43,32.56,31.9,67.3,0.0,2490000,876.4
2025-12-27,Amritsar,Chikungunya,21,4,52,40.38,32.0,62.6,0.0,2490000,2697.3
2025-12-28,Amritsar,Chikungunya,14,2,67,20.9,35.4,68.0,2.0,2490000,1018.5
2025-12-29,Amritsar,Chikungunya,20,2,64,31.25,29.5,79.2,0.0,2490000,1864.6
2025-12-30,Amritsar,Chikungunya,22,4,49,44.9,35.0,68.3,0.0,2490000,885.0
2025-12-31,Amritsar,Chikungunya,14,1,43,32.56,29.6,60.2,0.0,2490000,972.7
2026-01-01,Amritsar,Chikungunya,19,2,88,21.59,32.0,72.4,2.7,2490000,1942.0
2026-01-02,Amritsar,Chikungunya,20,2,60,33.33,34.7,77.1,2.9,2490000,1254.9
2026-01-03,Amritsar,Chikungunya,23,2,98,23.47,32.1,71.7,0.0,2490000,2490.1
2026-01-04,Amritsar,Chikungunya,14,2,44,31.82,31.8,69.1,3.3,2490000,1427.8
2026-01-05,Amritsar,Chikungunya,22,3,95,23.16,32.9,61.7,0.0,2490000,1668.5
2026-01-06,Amritsar,Chikungunya,21,2,54,38.89,34.5,69.5,0.0,2490000,1001.3
2026-01-07,Amritsar,Chikungunya,16,2,43,37.21,32.7,62.5,0.0,2490000,2721.9
2026-01-08,Amritsar,Chikungunya,20,2,62,32.26,33.4,63.1,0.0,2490000,1080.6
2026-01-09,Amritsar,Chikungunya,20,2,48,41.67,32.9,63.2,3.1,2490000,1327.0
2026-01-10,Amritsar,Chikungunya,20,2,68,29.41,32.9,72.3,0.0,2490000,1710.1
2026-01-11,Amritsar,Chikungunya,16,2,33,48.48,34.6,76.5,0.0,2490000,900.8
2026-01-12,Amritsar,Chikungunya,22,3,84,26.19,36.5,77.6,1.8,2490000,1076.0
2026-01-13,Amritsar,Chikungunya,26,5,99,26.26,28.0,79.5,2.9,2490000,1045.2
2026-01-14,Amritsar,Chikungunya,26,3,52,50.0,34.8,82.9,0.0,2490000,1225.4
2026-01-15,Amritsar,Chikungunya,15,1,33,45.45,35.0,72.5,0.0,2490000,995.9
2026-01-16,Amritsar,Chikungunya,26,6,86,30.23,35.5,65.3,0.0,2490000,1745.2
2026-01-17,Amritsar,Chikungunya,21,3,97,21.65,33.8,70.2,1.0,2490000,1385.7
2026-01-18,Amritsar,Chikungunya,21,3,91,23.08,35.2,72.2,1.5,2490000,2084.4
2026-01-19,Amritsar,Chikungunya,18,3,38,47.37,35.0,73.5,3.8,2490000,1004.6
2026-01-20,Amritsar,Chikungunya,18,2,87,20.69,35.4,68.1,0.0,2490000,1052.3
2026-01-21,Amritsar,Chikungunya,20,3,54,37.04,34.6,82.3,0.0,2490000,844.1
2026-01-22,Amritsar,Chikungunya,19,2,48,39.58,33.8,80.6,2.5,2490000,1967.8
2026-01-23,Amritsar,Chikungunya,19,3,80,23.75,37.5,75.7,0.0,2490000,1933.7
2026-01-24,Amritsar,Chikungunya,17,2,82,20.73,33.7,77.0,0.0,2490000,981.9
2026-01-25,Amritsar,Chikungunya,36,7,142,25.35,33.1,77.7,0.4,2490000,2468.2
2026-01-26,Amritsar,Chikungunya,36,4,92,39.13,37.1,79.4,0.0,2490000,1206.1
2026-01-27,Amritsar,Chikungunya,37,3,127,29.13,36.8,72.5,1.2,2490000,2698.2
2026-01-28,Amritsar,Chikungunya,57,7,211,27.01,33.1,75.3,6.1,2490000,960.9
2026-01-29,Amritsar,Chikungunya,42,9,171,24.56,36.3,78.7,6.1,2490000,832.7
2026-01-30,Amritsar,Chikungunya,57,6,240,23.75,33.0,71.3,4.1,2490000,1070.7
2026-01-31,Amritsar,Chikungunya,83,19,378,21.96,33.2,71.8,6.0,2490000,851.9
2026-02-01,Amritsar,Chikungunya,82,9,261,31.42,36.6,77.1,6.4,2490000,1782.1
2026-02-02,Amritsar,Chikungunya,85,16,234,36.32,33.6,74.6,0.0,2490000,1817.8
2026-02-03,Amritsar,Chikungunya,101,13,497,20.32,39.3,75.8,2.0,2490000,1487.7
2026-02-04,Amritsar,Chikungunya,110,11,374,29.41,32.1,79.6,0.0,2490000,1484.7
2026-02-05,Amritsar,Chikungunya,121,27,410,29.51,35.8,73.0,3.6,2490000,1027.9
2026-02-06,Amritsar,Chikungunya,117,19,279,41.94,35.1,71.7,0.2,2490000,1065.1
2026-02-07,Amritsar,Chikungunya,135,15,385,35.06,38.5,65.2,3.3,2490000,917.9
2026-02-08,Amritsar,Chikungunya,118,17,549,21.49,30.0,80.8,0.0,2490000,1040.8
2026-02-09,Amritsar,Chikungunya,113,19,491,23.01,37.1,80.7,4.7,2490000,1682.0
2026-02-10,Amritsar,Chikungunya,143,25,434,32.95,36.7,79.4,0.8,2490000,1092.6
2026-02-11,Amritsar,Chikungunya,137,15,378,36.24,34.9,81.2,9.1,2490000,882.4
2026-02-12,Amritsar,Chikungunya,157,22,752,20.88,36.2,73.0,4.7,2490000,1234.8
